,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
90,26,1.18657,3.868e-05,0,"Emission line wavelength(s) in region: [(1.18659, 'OH Line')] micron"
91,26,1.18669,3.001e-05,0,"Emission line wavelength(s) in region: [(1.18671, 'OH Line')] micron"
92,27,1.19677,5.58e-05,0,"Emission line wavelength(s) in region: [(1.1968, 'OH Line')] micron"
93,27,1.19882,7.745e-05,1,"Emission line wavelength(s) in region: [(1.19886, 'OH Line')] micron"
94,27,1.19998,6.705e-05,1,"Emission line wavelength(s) in region: [(1.20001, 'OH Line')] micron"
95,27,1.20067,6.562e-05,1,"Emission line wavelength(s) in region: [(1.20071, 'OH Line')] micron"
96,27,1.2024,4.001e-05,1,"Emission line wavelength(s) in region: [(1.20243, 'OH Line')] micron"
97,27,1.20306,5.317e-05,1,"Emission line wavelength(s) in region: [(1.20309, 'OH Line')] micron"
98,27,1.20557,4.108e-05,0,"Emission line wavelength(s) in region: [(1.20559, 'OH Line')] micron"
99,28,1.20065,0.00010117,1,"Emission line wavelength(s) in region: [(1.2007, 'OH Line')] micron"
100,28,1.2024,4.229e-05,1,"Emission line wavelength(s) in region: [(1.20243, 'OH Line')] micron"
101,28,1.20306,6.044e-05,1,"Emission line wavelength(s) in region: [(1.20309, 'OH Line')] micron"
102,28,1.20556,4.882e-05,1,"Emission line wavelength(s) in region: [(1.20559, 'OH Line')] micron"
103,28,1.21199,8.557e-05,1,"Emission line wavelength(s) in region: [(1.21202, 'OH Line'), (1.21206, 'OH Line')] micron"
104,28,1.21223,5.536e-05,1,"Emission line wavelength(s) in region: [(1.21226, 'OH Line')] micron"
105,28,1.21356,3.857e-05,1,"Emission line wavelength(s) in region: [(1.21358, 'OH Line')] micron"
106,29,1.21223,6.183e-05,1,"Emission line wavelength(s) in region: [(1.21226, 'OH Line')] micron"
107,29,1.21355,7.449e-05,1,"Emission line wavelength(s) in region: [(1.21357, 'OH Line'), (1.21361, 'OH Line')] micron"
108,29,1.21543,4.047e-05,0,"Emission line wavelength(s) in region: [(1.21545, 'OH Line')] micron"
109,29,1.21552,4.041e-05,1,"Emission line wavelength(s) in region: [(1.21554, 'OH Line')] micron"
110,29,1.22292,5.477e-05,1,"Emission line wavelength(s) in region: [(1.22295, 'OH Line')] micron"
111,30,1.22288,9.054e-05,1,"Emission line wavelength(s) in region: [(1.22293, 'OH Line')] micron"
112,30,1.22574,6.796e-05,1,"Emission line wavelength(s) in region: [(1.22577, 'OH Line')] micron"
113,30,1.22866,8.06e-05,1,"Emission line wavelength(s) in region: [(1.22868, 'OH Line'), (1.22872, 'OH Line')] micron"
114,30,1.23257,4.157e-05,1,"Emission line wavelength(s) in region: [(1.23259, 'OH Line')] micron"
115,30,1.2351,5.124e-05,1,"Emission line wavelength(s) in region: [(1.23513, 'OH Line')] micron"
